id_cliente,nombre,apellido,ciudad,pais
C0203,Lucía,González,Niza,Francia
C0004,Marta,López,Valencia,España
C0156,Sofía,Sánchez,Santander,España
C0058,Clara,Hernández,Barcelona,España
C0099,Elena,García,Lisboa,Portugal
C0039,Ana,Pérez,Madrid,España
C0150,Elena,Hernández,Santander,España
C0244,Lucía,Fernández,Valencia,España
C0032,Laura,López,Barcelona,España
C0229,Julia,González,Murcia,España
C0246,Lucía,Rodríguez,Niza,Francia
C0038,Lucía,Gómez,Marsella,Francia
C0209,Laura,Fernández,Barcelona,España
C0197,María,Martínez,Coímbra,Portugal
C0137,María,Gómez,Aveiro,Portugal
C0263,Lucía,Martínez,Madrid,España
C0217,Lucía,Pérez,Zaragoza,España
C0060,María,Martínez,Braga,Portugal
C0203,Lucía,González,Niza,Francia
C0249,Clara,González,Málaga,España
C0126,Marta,Gómez,Toulouse,Francia
C0249,Clara,González,Málaga,España
C0283,Sofía,García,Málaga,España
C0187,Clara,Rodríguez,Marsella,Francia
C0200,Carmen,García,Barcelona,España
C0216,Marta,Rodríguez,Toulouse,Francia
C0049,Ana,García,Sevilla,España
C0297,Marta,Rodríguez,Zaragoza,España
C0032,Laura,López,Barcelona,España
C0149,Marta,Pérez,Murcia,España
C0092,Elena,García,Toulouse,Francia
C0186,Sofía,Fernández,Marsella,Francia
C0286,Marta,López,Braga,Portugal
C0205,Elena,García,Lisboa,Portugal
C0253,Marta,López,Valencia,España
C0129,Clara,Martínez,Lyon,Francia
C0245,Marta,Rodríguez,Madrid,España
C0240,Lucía,García,París,Francia
C0297,Marta,Rodríguez,Zaragoza,España
C0005,Ana,Martínez,París,Francia
C0195,Julia,Sánchez,Oporto,Portugal
C0043,Carmen,Rodríguez,Toulouse,Francia
C0181,Clara,González,Toulouse,Francia
C0217,Lucía,Pérez,Zaragoza,España
C0203,Lucía,González,Niza,Francia
C0113,Marta,Rodríguez,Madrid,España
C0092,Elena,García,Toulouse,Francia
C0278,Sofía,Gómez,Coímbra,Portugal
C0093,Sofía,González,Lisboa,Portugal
C0275,Carmen,Fernández,Zaragoza,España
C0181,Clara,González,Toulouse,Francia
C0282,Laura,Hernández,Bilbao,España
C0156,Sofía,Sánchez,Santander,España
C0237,María,González,Niza,Francia
C0300,Carmen,Pérez,Aveiro,Portugal
C0251,María,Pérez,Oporto,Portugal
C0198,María,Sánchez,Zaragoza,España
C0139,Sofía,Rodríguez,Oporto,Portugal
C0224,Laura,García,Madrid,España
C0161,Marta,Hernández,Málaga,España
C0004,Marta,López,Valencia,España
C0228,María,Pérez,Zaragoza,España
C0300,Carmen,Pérez,Aveiro,Portugal
C0101,Julia,González,Lyon,Francia
C0247,Clara,Rodríguez,Braga,Portugal
C0198,María,Sánchez,Zaragoza,España
C0249,Clara,González,Málaga,España
C0149,Marta,Pérez,Murcia,España
C0099,Elena,García,Lisboa,Portugal
C0182,Elena,Gómez,Niza,Francia
C0053,Clara,Pérez,Lyon,Francia
C0011,Lucía,Fernández,Lyon,Francia
C0137,María,Gómez,Aveiro,Portugal
C0162,Ana,Pérez,Lyon,Francia
C0283,Sofía,García,Málaga,España
C0278,Sofía,Gómez,Coímbra,Portugal
C0137,María,Gómez,Aveiro,Portugal
C0247,Clara,Rodríguez,Braga,Portugal
C0276,Ana,Sánchez,Lisboa,Portugal
C0090,Marta,Gómez,Sevilla,España
C0017,Clara,Sánchez,Marsella,Francia
C0089,Elena,Rodríguez,Aveiro,Portugal
C0265,Marta,Rodríguez,Valencia,España
C0049,Ana,García,Sevilla,España
C0245,Marta,Rodríguez,Madrid,España
C0249,Clara,González,Málaga,España
C0031,Elena,Rodríguez,Málaga,España
C0152,Laura,Rodríguez,Marsella,Francia
C0228,María,Pérez,Zaragoza,España
C0053,Clara,Pérez,Lyon,Francia
C0285,Elena,García,Sevilla,España
C0173,Sofía,Martínez,Aveiro,Portugal
C0079,María,Sánchez,Toulouse,Francia
C0167,Laura,Fernández,París,Francia
C0004,Marta,López,Valencia,España
C0035,Ana,López,Niza,Francia
C0004,Marta,López,Valencia,España
C0248,Carmen,Fernández,Lyon,Francia
C0099,Elena,García,Lisboa,Portugal
C0212,Sofía,Martínez,Madrid,España
